userid,clarity,account,feltacc,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,avgabspercent,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_correct,crt2,crt2_correct,crt3,crt3_correct,crt_total,consc_1,consc_2,consc_3,consc_4,consc,extra_1,extra_2,extra_3,extra_4,extra,agree_1,agree_2,agree_3,agree_4,agree,open_1,open_2,open_3,open_4,open,neuro_1,neuro_2,neuro_3,neuro_4,neuro,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,aomt,educ,age,gender,race
282,0,1,1,50,50,0,60,40,0.2,50,50,-0.166666667,40,60,-0.2,50,50,0.25,50,50,0,50,50,0,0,2.857142857,50,0.011904762,1.19047619,Could swing either way ,23,The PM is promising tangible results whereas the diplomat only asks the voters to rely on his word.,99,Depends on the state of the political climate.,46,It is significant that the Yes camp won the last debate.,56,This evidence isnt significant enough to reach a conclusion ,60,His evidence contradicts itself,31,There will be a larger voter turnout but we dont know who for.,62,377,53.85714286,0.05,1,5,1,47,1,3,6,3,6,6,5.25,4,6,5,6,5.25,5,5,3,6,4.75,7,6,6,7,6.5,3,2,3,5,3.25,3,5,5,3,5,3,3,3,1,5,3,5,5,3,3,5,5,5,3.888888889,5,6,6,6,4,5,7,4,6,5.444444444,5,1,1,1
20,0,0,0,52,48,2,48,52,-0.076923077,54,46,0.125,52,48,-0.037037037,49,51,-0.057692308,60,40,0.224489796,55,45,-0.083333333,3,2.979591837,47.14285714,0.299214863,29.9214863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,1,47,1,2,5,4,5,3,4.25,6,3,3,4,4,5,5,4,5,4.75,6,5,3,5,4.75,6,6,6,7,6.25,6,4,2,5,5,2,5,5,4,5,5,4,4,5,5,6,4,5,4.5,3,5,5,6,3,4,6,2,4,4.222222222,3,1,2,1
255,1,1,1,60,40,40,56,44,-0.066666667,45,55,-0.196428571,35,65,-0.222222222,44,56,0.257142857,50,50,0.136363636,50,50,0,10,6.204081633,51.42857143,5.701169862,570.1169862,"Even though the No camp is currently tied with the Yes, I think the likeliness that it will win is higher than 50% because it has been consistently in the lead.",160,The likeliness that No wins is still higher than 50 because the package of initiatives and the famous author are probably more alluring than the opinion of the diplomat. ,170,The theme for Yes is much more positive and convincing than the theme for Yes,77,"As Yes is now in the lead and trends show undecideds leaning towards Yes, it seems that No is much less likely to win the election.",131,"If No is the status quo and swing votes lean toward this, the probably of No is a little better, but still under 50%.",117,"If Yes is being overestimated and No underestimated, the probability is back to 50-50 as they both are battling it out.",119,It is unknown how these people will factor into the vote.,57,831,118.7142857,0.05,1,100,0,24,0,1,7,7,7,7,7,4,6,5,6,5.25,6,6,6,6,6,6,6,5,6,5.75,5,3,5,4,4.25,4,6,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4.833333333,4,6,5,7,3,3,6,4,5,4.777777778,3,1,2,1
146,0,0,0,60,40,10,65,35,0.083333333,50,50,-0.230769231,45,55,-0.1,45,55,0,50,50,0.111111111,50,50,0,10,5.918367347,47.85714286,1.409096459,140.9096459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,47,1,2,3,3,5,5,4,1,5,3,2,2.75,6,5,5,5,5.25,6,4,5,6,5.25,3,5,2,6,4,6,6,5,5,5,5,3,5,4,6,6,6,5,5,5,5,5,6,5.166666667,4,5,5,5,3,2,6,5,6,4.555555556,3,1,2,1
97,0,1,1,50,50,0,60,40,0.2,40,60,-0.333333333,45,55,0.125,40,60,-0.111111111,50,50,0.25,50,50,0,0,5.306122449,52.14285714,0.018650794,1.865079365,"I assigned a 50% probability because at the ""3 weeks to go mark,"" the No camp is even with the Yes camp. ",105,"The No camp now has the endorsement of a famous author in Apple, which I believe will have a stronger impact than the senior diplomat urging Apple to vote Yes. ",160,I believe that the Yes theme will prove more effective than the No theme. ,74,"At this point, the Yes camp appears to be in the lead, but I do not believe that the No camp no longer has a chance. ",117,"If the swing votes go towards the Yes camp, as to follow the status quo, the No camp has a lower chance of winning. ",116,I believe that the uncertainty of the polls indicate that the Yes and No camps may be even. ,92,"This leads to uncertainty of voting outcome, which gives the Yes and No camps relatively even odds. ",100,764,109.1428571,0.05,1,100,0,49,0,1,2,2,6,3,3.25,2,5,5,3,3.75,6,6,6,6,6,5,6,5,5,5.25,2,2,3,5,3,6,2,5,3,3,3,5,5,1,3,5,5,3,5,3,3,5,5,3.888888889,5,7,5,7,3,5,6,4,6,5.333333333,3,1,2,7
275,0,0,0,50,50,0,55,45,0.1,47,53,-0.145454545,41,59,-0.127659574,40,60,-0.024390244,46,54,0.15,53,47,0.152173913,3,4.489795918,52.57142857,0.014952793,1.495279275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,500,0,47,1,2,2,4,4,3,3.25,4,4,5,3,4,5,4,3,5,4.25,5,6,6,6,5.75,3,3,4,6,4,5,3,7,5,5,3,3,1,1,5,5,7,5,7,7,3,5,1,4.333333333,3,7,7,7,5,7,7,6,5,6,2,1,1,4
91,0,1,1,60,40,10,50,50,-0.166666667,60,40,0.2,40,60,-0.333333333,40,60,0,45,55,0.125,55,45,0.222222222,5,7.142857143,50,1.43531746,143.531746,"In three weeks, the No camp has been able to gain votes. They are catching up at a relatively high rate so they have a high percent of winning the election.",156,Popular/Respected people seem to be endorsing both camps. Their odds of winning are even given that both have about the same advantage.,135,"As much as people have hope for a better tomorrow, they are also extremely scared to go about the world uncertain and in the dark. Therefore, the No camp has a higher probability of winning given that their pathos is stronger than the Yes camp's theme. ",253,"The Yes camp seems to be gaining ground, which means that the No camp has less percent of winning the election. ",112,"Given the recent polls, the Yes camp is becoming more popular. If they gain the popularity, roughly 11% of votes can go towards them. That being said, it is not guaranteed so the No camp has the same probability of winning.",223,The No camp has a slightly higher chance of winning because of the underestimation. ,84,That puts the No camp group at a higher probability because these uninformed voters will not vote for change. ,110,1073,153.2857143,0.1,0,100,0,24,0,0,2,2,5,3,3,2,5,5,5,4.25,6,6,5,6,5.75,6,6,6,6,6,3,6,5,4,4.5,6,6,5,7,7,5,6,7,5,6,7,5,5,6,5,3,3,7,5.611111111,1,7,7,7,3,6,7,6,7,5.666666667,3,1,1,3
317,1,0,0,45,55,55,53,47,0.177777778,51,49,-0.037735849,43,57,-0.156862745,42,58,-0.023255814,47,53,0.119047619,47,53,0,2,3.020408163,53.14285714,7.868424427,786.8424427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,1,3,7,5,4,5,6,5,5,5.25,6,6,5,7,6,7,7,6,7,6.75,3,5,4,6,4.5,1,7,2,7,7,1,1,7,5,7,6,7,1,2,5,3,5,2,4.222222222,5,6,6,6,3,5,6,6,6,5.444444444,5,1,1,1
10,0,1,1,50,50,0,60,40,0.2,40,60,-0.333333333,45,55,0.125,45,55,0,60,40,0.333333333,50,50,-0.166666667,0,5.714285714,50,0.022619048,2.261904762,"Given the fact that the deadline is approaching and that the No Camp has been losing support, it is reasonable to assume that it is even. ",138,There has been more support for the No Camp and there are stipulations in place to either side. No could win. ,110,"The public needs to rally support over this cause. If the key Yes theme has been hope, it will take away supporters for the No Camp. The uncertainty is not going to rally the people. ",183,"I think that although the final public debate helps the No campaign, the people are moving towards yes and are not favoring the uncertainty that come with no. ",159,This does not sway the public. I think the fact that the cases are too different to be directly comparable makes this evidence at best circumstantial. ,151,"I believe that the lack of No in referendum is worrying. However, the No party will begin to come out and break the spiral of silence. ",135,There could be some doubt as to who is voting for whom. It could be anyone's game again. ,89,965,137.8571429,0.05,1,5,1,47,1,3,5,3,6,5,4.75,6,6,6,6,6,6,6,6,7,6.25,6,6,5,7,6,3,4,2,6,3.75,7,7,5,5,5,5,5,6,5,7,7,5,7,7,3,6,5,5,5.666666667,4,4,4,6,4,4,5,3,4,4.222222222,3,1,1,3
240,1,0,0,50,50,50,60,40,0.2,55,45,-0.083333333,40,60,-0.272727273,45,55,0.125,50,50,0.111111111,50,50,0,0,4.285714286,50,7.154292929,715.4292929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,0,47,1,1,3,2,3,3,2.75,5,6,6,6,5.75,6,6,6,6,6,7,7,7,7,7,2,2,2,2,2,6,6,5,6,6,6,5,6,6,6,7,6,5,6,6,6,3,3,5.555555556,5,6,7,6,6,6,7,5,5,5.888888889,5,1,1,1
265,0,0,0,40,60,-10,43,57,0.075,40,60,-0.069767442,47,53,0.175,54,46,0.14893617,54,46,0,58,42,0.074074074,18,6.285714286,52,-1.370965314,137.0965314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,2,2,4,5,3.25,5,6,7,6,6,5,6,5,7,5.75,7,7,7,7,7,2,3,2,5,3,5,5,7,7,7,6,5,4,1,6,6,7,5,6,5,5,5,5,5.388888889,6,6,6,7,5,5,7,6,6,6,3,1,1,2
16,1,1,1,50,50,50,60,40,0.2,30,70,-0.5,40,60,0.333333333,50,50,0.25,50,50,0,50,50,0,0,6.93877551,52.85714286,7.183333333,718.3333333,Yes caught up in numbers so I think No camp has a lesser chance of winning.,75,There are more partisans in favor of No compared to Yes. ,57,the No theme is not very inspiring ,35,Yes seems to be doing better as of late so I think they have a better chance of winning compared to No. ,104,Not really sure what to make of this so I gave No a 50% chance of winning ,74,I think this suggests that both parties have a relatively equal chances based on this assessment ,97,For the same reason as the previous question ,45,487,69.57142857,0.05,1,100,0,24,0,1,4,5,6,5,5,4,4,5,4,4.25,5,6,5,6,5.5,5,6,6,6,5.75,2,3,3,3,2.75,3,5,6,4,4,4,3,3,3,5,5,5,4,4,4,4,4,4,4.111111111,4,5,5,6,4,4,5,5,4,4.666666667,3,1,2,7
236,1,1,1,50,50,50,55,45,0.1,47,53,-0.145454545,40,60,-0.14893617,44,56,0.1,45,55,0.022727273,44,56,-0.022222222,6,3.632653061,53.57142857,7.129444905,712.9444905,"Even chance now, assuming 50-50 chance of trend of Yes increasing popularity will continue or not",97,"More public figures came out for No than for Yes, so this will sway public opinion a bit in No's favor",102,"Docking a few points from No because I think positive, inspirational slogans work better than fearful ones",106,Taking more points away from No camp because the Yes increasing trend will likely continue until the election,109,Giving more points to No's chances because this shows are polling data may be skewed toward the yes camp,104,"There are more No's than the polling data suggests, so more points to no",72,No change because I can't make assumptions about the tendencies of people who don't usually vote ,97,687,98.14285714,0.05,1,100,0,47,1,2,6,7,7,7,6.75,4,5,4,5,4.5,5,5,5,7,5.5,7,7,7,7,7,1,2,1,2,1.5,4,5,6,5,7,5,6,4,6,7,5,6,7,6,2,6,6,5,5.444444444,6,7,7,7,6,7,7,6,7,6.666666667,3,1,2,3
88,1,0,0,60,40,40,46,54,-0.233333333,52,48,0.130434783,38,62,-0.269230769,45,55,0.184210526,56,44,0.244444444,57,43,0.017857143,3,6.489795918,49.42857143,5.724911828,572.4911828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,24,0,1,3,6,5,6,5,1,3,3,2,2.25,6,6,6,6,6,5,6,3,5,4.75,3,6,5,5,4.75,3,5,6,5,6,3,5,3,3,5,5,6,2,5,6,2,6,7,4.611111111,5,6,6,6,3,3,6,3,3,4.555555556,3,1,2,3
314,0,0,0,67,33,17,43,57,-0.358208955,68,32,0.581395349,45,55,-0.338235294,54,46,0.2,43,57,-0.203703704,59,41,0.372093023,8,9.020408163,45.85714286,2.464762917,246.4762917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,47,1,2,3,3,6,2,3.5,2,2,2,3,2.25,2,6,2,2,3,6,4,3,6,4.75,2,3,2,6,3.25,5,6,5,2,3,6,5,2,3,6,3,2,5,6,3,2,3,6,4.055555556,3,1,2,5,5,3,4,5,6,3.777777778,5,1,1,1
89,1,1,0,50,50,50,52,48,0.04,26,74,-0.5,47,53,0.807692308,48,52,0.021276596,54,46,0.125,42,58,-0.222222222,8,6.612244898,54.42857143,7.181678097,718.1678097,Even with the yes camp,22,No camp wins,12,negative slogan,15,No,2,d,1,a,1,unclear polls,13,66,9.428571429,0.05,1,20,0,47,1,2,5,5,5,3,4.5,5,6,3,6,5,6,5,5,5,5.25,5,5,6,5,5.25,3,4,2,5,3.5,3,6,5,2,2,3,2,2,2,6,6,5,6,6,3,5,2,3,3.833333333,3,4,5,3,4,4,3,5,3,3.777777778,3,1,2,4
215,0,1,1,60,40,10,55,45,-0.083333333,50,50,-0.090909091,40,60,-0.2,40,60,0,50,50,0.25,40,60,-0.2,20,6.734693878,52.14285714,1.382251082,138.2251082,The only information available so far is the polling up to this point. ,71,The two endorsements seem to balance each other out. Voters don't tend to pay attention to rational taxes/ policies when making a decision. ,140,The hope for a new future slogan I can imagine being very inspiring to voters. ,79,The new polling numbers seem to be very encouraging for the yes camp. It is clear that the public did not have a good understanding of the yes camp until after the public debate. ,179,I do not think that this piece of information makes a difference in the election. ,82,"Combining this information with the historical information that voters tend to return to the status quo, it makes sense that the probability that the No camp wins would be higher. ",180,There are definitely people for whom the issue f independence would be inspiring enough that they would turn out to vote for the first time. ,141,872,124.5714286,0.05,1,100,0,47,1,2,3,3,5,3,3.5,3,6,6,6,5.25,6,6,6,7,6.25,5,6,2,5,4.5,2,6,3,5,4,2,6,6,6,6,5,5,6,4,6,6,6,5,5,5,6,6,6,5.388888889,5,6,5,7,5,6,6,2,4,5.111111111,3,1,2,1
311,0,0,0,51,49,1,50,50,-0.019607843,60,40,0.2,59,41,-0.016666667,54,46,-0.084745763,48,52,-0.111111111,55,45,0.145833333,4,3.591836735,46.14285714,0.159100279,15.91002785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,5,6,6,5.5,3,5,4,3,3.75,6,5,4,5,5,5,6,6,6,5.75,1,1,2,2,1.5,5,6,4,5,6,5,4,4,4,6,6,5,5,6,6,6,5,6,5.222222222,4,6,5,6,4,3,7,6,5,5.111111111,3,1,1,2
85,0,0,0,48,52,-2,44,56,-0.083333333,45,55,0.022727273,51,49,0.133333333,54,46,0.058823529,58,42,0.074074074,60,40,0.034482759,12,5.06122449,48.57142857,-0.251413195,25.1413195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,3,6,4,3,4,4,6,5,4,4.75,4,5,4,5,4.5,3,6,5,5,4.75,2,2,4,6,3.5,3,5,5,5,1,5,3,1,3,4,5,6,6,5,6,1,2,5,3.944444444,6,6,6,6,6,5,7,6,5,5.888888889,3,1,1,3
231,1,1,1,50,50,50,45,55,-0.1,45,55,0,40,60,-0.111111111,45,55,0.125,45,55,0,45,55,0,5,1.428571429,55,7.130555556,713.0555556,There is no reason to suspect the trend of a recent increase in Yes voters to continue.,87,The package could be all some Yes voters were looking for.,58,Both slogans are pretty equal.,30,"The 71% is very convincing, but I still believe No has a shot because of the concessions made by the prime minister earlier.",124,34 is a decent sample size and I believe the fact that No has legitimate arguments will increase the likelihood that the 11% holds true.,136,Not sure what the spiral of silence means and this is just a comment from on sociologist. No change,99,"From the information that is available, it's hard to determine which side this will help without guessing.",106,640,91.42857143,0.05,1,5,1,47,1,3,5,5,5,5,5,5,6,3,6,5,7,6,7,7,6.75,6,6,6,6,6,6,3,6,7,5.5,6,6,6,6,6,5,6,3,7,7,7,7,6,6,7,6,7,5,6.055555556,5,7,7,7,4,7,7,6,6,6.222222222,3,1,1,1
289,0,0,0,50,50,0,55,45,0.1,40,60,-0.272727273,41,59,0.025,37,63,-0.097560976,52,48,0.405405405,43,57,-0.173076923,7,5.918367347,54.57142857,-0.001851395,0.185139514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,4,6,6,6,5.5,2,3,3,3,2.75,6,6,6,6,6,6,6,5,5,5.5,2,2,2,3,2.25,6,4,4,5,5,5,4,3,4,6,5,5,4,6,7,4,5,5,4.833333333,6,7,6,6,4,5,6,6,6,5.777777778,2,1,1,1
36,1,0,0,55,45,45,55,45,0,54,46,-0.018181818,47,53,-0.12962963,46,54,-0.021276596,66,34,0.434782609,55,45,-0.166666667,0,4.285714286,46,6.442718271,644.2718271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,7,7,7,6.5,6,7,2,3,4.5,5,3,5,3,4,6,7,7,7,6.75,1,6,2,6,3.75,1,6,6,7,6,5,6,6,3,5,5,5,5,3,5,5,3,3,4.722222222,1,6,3,2,6,6,6,2,2,3.777777778,3,1,1,7
154,1,0,0,40,60,60,63,37,0.575,48,52,-0.238095238,45,55,-0.0625,48,52,0.066666667,54,46,0.125,47,53,-0.12962963,7,5.265306122,50.71428571,8.619491686,861.9491686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,100,0,47,1,1,2,2,4,4,3,4,4,5,5,4.5,2,2,5,3,3,6,6,6,6,6,6,5,5,4,5,2,3,5,3,5,5,3,3,3,5,3,3,3,5,5,3,1,3,3.5,4,6,6,6,5,6,6,4,6,5.444444444,5,1,1,1
136,1,1,1,59,41,41,64,36,0.084745763,48,52,-0.25,44,56,-0.083333333,50,50,0.136363636,62,38,0.24,50,50,-0.193548387,9,6.693877551,46.14285714,5.847746811,584.7746811,"It was not winning for most of the year, so that means something, but so does the sudden surge. People always change their mind last minute, but the No camp held out longer.",173,"It is two against one. Two important figures are endorsing the No camp, while the Yes camp only has one.",104,"Hope is a more positive thing than uncertainty, so I think that will resonate more with the voters.",99,The polls are now stronger for the Yes camp.,44,"If they are not comparable, these findings don't suggest anything.",66,"If the No votes were underestimated, this increases the No camp's chance at winning. ",85,It's true; polls are so ambiguous. This does not affect the present day then.,77,648,92.57142857,0.1,0,5,1,47,1,2,1,2,5,1,2.25,2,2,4,2,2.5,6,4,6,6,5.5,5,3,2,4,3.5,6,6,6,6,6,4,4,1,2,3,5,3,3,3,4,2,6,2,2,4,6,3,3,3.333333333,2,6,2,7,3,1,7,6,4,4.222222222,2,1,2,3
254,1,0,0,55,45,45,57,43,0.036363636,50,50,-0.122807018,35,65,-0.3,48,52,0.371428571,42,58,-0.125,41,59,-0.023809524,14,6.448979592,53.14285714,6.405167952,640.5167952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,24,0,1,7,7,7,7,7,4,6,5,6,5.25,6,6,5,6,5.75,6,6,4,5,5.25,5,3,5,4,4.25,4,6,4,6,6,4,6,6,4,5,5,6,4,5,4,5,7,5,5.111111111,4,5,5,6,4,5,6,4,4,4.777777778,3,1,2,3
165,1,0,0,45,55,55,32,68,-0.288888889,57,43,0.78125,39,61,-0.315789474,57,43,0.461538462,28,72,-0.50877193,51,49,0.821428571,6,9.551020408,55.85714286,7.992966677,799.2966677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,49,0,2,5,5,5,5,5,4,5,3,5,4.25,5,5,5,5,5,5,4,4,4,4.25,5,3,5,3,4,5,5,3,3,3,5,3,3,3,5,5,3,5,5,5,3,3,5,4,5,5,5,3,3,3,3,5,5,4.111111111,3,1,1,4
