userid,clarity,account,feltacc,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_correct,crt2,crt2_correct,crt3,crt3_correct,crt_total,consc_1,consc_2,consc_3,consc_4,consc,extra_1,extra_2,extra_3,extra_4,extra,agree_1,agree_2,agree_3,agree_4,agree,open_1,open_2,open_3,open_4,open,neuro_1,neuro_2,neuro_3,neuro_4,neuro,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,aomt,educ,age,gender,race,debrief,end,LocationLatitude,LocationLongitude,LocationAccuracy
22,1,0,0,60,40,40,58,42,2,58,42,0,45,55,13,45,55,0,50,50,5,50,50,0,10,5.469387755,47.71428571,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,24,0,0,5,5,5,5,5,5,6,5,5,5.25,6,5,6,6,5.75,6,5,5,6,5.5,3,3,3,5,3.5,3,3,3,3,6,4,5,3,3,6,5,5,2,5,5,3,6,6,4.222222222,4,7,7,7,4,4,4,6,5,5.333333333,3,1,2,7,1,1,39.95970154,-75.19680023,-1
23,0,0,0,43,57,-7,59,41,16,54,46,-5,51,49,-3,59,41,8,64,36,5,59,41,-5,16,5.346938776,44.42857143,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,5,1,47,1,2,4,2,5,5,4,2,3,6,5,4,5,6,4,6,5.25,6,6,5,6,5.75,6,5,5,5,5.25,6,6,5,5,4,6,6,6,5,7,6,4,4,5,6,3,6,5,5.277777778,5,7,7,6,5,3,5,4,2,4.888888889,2,1,1,3,1,1,39.95970154,-75.19680023,-1
24,1,1,1,40,60,60,40,60,0,45,55,5,35,65,10,35,65,0,40,60,5,40,60,0,0,2.448979592,60.71428571,3.333333333,"If recent trends have shown that the Yes camp is increasing, it will probably continue that way",95,I don't know if the Applens would listen to a diplomat or an author more - their cultural tendencies are unknown.,113,"people really like hope and positive concepts, but playing on fear is more successful ",86,We're so close to the election and the Yes camp is still pulling ahead even more,80,"If the cases are too different, they probably won't have any effect",67,A respected sociologist has shown that there's enough replication of incorrect polls that this information probably has sway ,125,"This may be true, but we don't know which direction these people will vote in.",78,644,92,0.10,0,5,1,47,1,2,3,5,4,4,4,2,4,3,2,2.75,6,6,5,6,5.75,4,4,5,5,4.5,2,2,3,2,2.25,4,6,6,4,4,4,4,6,2,4,6,6,6,4,2,4,6,6,4.666666667,6,6,6,6,3,5,3,4,5,4.888888889,3,1,2,1,1,1,39.95970154,-75.19680023,-1
25,0,1,1,26,74,-24,24,76,-2,21,79,-3,22,78,1,27,73,5,38,62,11,24,76,-14,2,3.714285714,74,-0.333333333,I don't think the No camp will win the election,47,Because of the Apple support,28,The yes theme was better.,25,The pro-indepence leader won the debate.,40,The cases were too different to be directly comparable.,55,The spiral of science.,22,The type of people voting.,26,243,34.71428571,0.05,1,2500,0,2,0,1,6,5,6,5,5.5,4,5,4,4,4.25,6,2,6,6,5,3,2,2,2,2.25,6,4,6,3,4.75,4,5,6,3,3,2,2,2,2,3,4,3,2,2,2,2,5,4,3.111111111,6,6,6,2,2,6,2,6,6,4.666666667,3,1,2,1,1,1,39.95970154,-75.19680023,-1
26,1,1,1,50,50,50,60,40,10,65,35,5,60,40,5,70,30,10,75,25,5,75,25,0,25,7.142857143,35,5.833333333,No camp is even with Yes camp (50/50),37,"People are more influenced by celebrity figures, i.e. the famous author, and incentivized by new policies that are potentially beneficial, than listening to political public figures.",182,"People seem more motivated by fear, and would rather avoid the risk of a bad future than wait for a hopeful one.",112,"Evidence show that the yes camp may win, so considering all other evidence, the No camp probability will decrease a little.",123,Status quo is no camp,21,The evidence above shows that people don't always report their opinion if it's the status quo (no camp),103,Can't conclusively change outcome given that the evidence says it's difficult to assess turnout.,96,674,96.28571429,0.05,1,5,1,47,1,3,6,3,7,5,5.25,2,5,3,4,3.5,6,6,6,6,6,6,7,6,3,5.5,4,6,4,7,5.25,4,6,7,6,6,7,6,6,6,7,7,7,6,1,6,6,7,7,6,4,7,7,7,5,3,5,6,6,5.555555556,3,1,2,4,1,1,39.95970154,-75.19680023,-1
27,0,0,0,70,30,20,52,48,-18,56,44,4,63,37,7,61,39,-2,78,22,17,39,61,-39,31,9.306122449,40.14285714,-5.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,47,1,1,6,3,7,6,5.5,7,5,7,7,6.5,7,7,7,7,7,7,7,7,7,7,7,4,2,6,4.75,5,5,3,2,3,5,2,3,4,5,5,2,5,5,5,3,2,5,3.833333333,4,4,3,4,4,4,4,4,4,3.888888889,3,1,2,1,1,1,39.95970154,-75.19680023,-1
28,1,0,0,41,59,59,40,60,1,60,40,20,47,53,13,16,84,31,44,56,28,51,49,7,10,8.897959184,57.28571429,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,3,4,6,4.5,5,6,6,7,6,3,5,4,6,4.5,7,6,6,7,6.5,5,7,5,6,5.75,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4.444444444,6,5,6,6,5,3,5,6,6,5.333333333,5,1,1,1,1,1,39.95970154,-75.19680023,-1
29,0,1,1,55,45,5,45,55,-10,42,58,-3,33,67,-9,39,61,6,46,54,7,43,57,-3,12,4.612244898,56.71428571,-2,"50% right now but since people are shifting, likely that more will shift in the next weeks ",91,People are more likely to listen to someone who they feel is part of their in-group (Apple citizen - author) and people have a distrust of diplomats in general,159,Positive is better motivator than negative,42,Obviously there's a shift toward yes.,37,"Little bit higher - maybe there might be a shift, but still not enough to go above 50%",86,Slightly higher accounting for poll mistakes,44,Same - doesn't mean those people will be on the yes/no side.,60,519,74.14285714,0.05,1,5,1,47,1,3,1,1,2,1,1.25,1,6,2,4,3.25,5,5,6,4,5,7,6,5,6,6,5,7,7,6,6.25,3,3,6,5,5,2,5,6,2,2,2,5,2,2,2,2,7,5,3.666666667,7,7,7,7,2,6,2,5,7,5.555555556,2,1,2,1,1,1,39.95970154,-75.19680023,-1
30,1,0,0,50,50,50,72,28,22,30,70,42,29,71,1,51,49,22,69,31,18,75,25,6,25,15.67346939,46.28571429,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,24,0,2,3,2,3,2,2.5,2,2,1,1,1.5,4,3,5,3,3.75,6,5,6,6,5.75,2,2,3,5,3,5,5,5,6,6,3,2,5,4,6,6,6,3,6,6,3,4,6,4.833333333,5,6,6,7,6,2,6,6,3,5.222222222,3,1,2,4,1,1,39.95970154,-75.19680023,-1
31,0,0,0,40,60,-10,65,35,25,70,30,5,50,50,-20,60,40,10,80,20,20,80,20,0,40,11.63265306,36.42857143,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,3,3,5,3,3.5,1,1,1,1,1,7,7,7,7,7,6,6,2,6,5,5,3,6,6,5,3,3,6,6,6,2,3,3,1,5,5,5,3,6,3,2,1,6,3.833333333,7,7,7,7,6,2,6,7,7,6.222222222,3,1,1,1,1,1,39.95970154,-75.19680023,-1
32,1,0,0,50,50,50,70,30,20,65,35,5,29,71,36,50,50,21,70,30,20,50,50,20,0,11.55102041,45.14285714,20.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,5,1,47,1,2,7,7,7,7,7,2,6,5,3,4,6,7,6,7,6.5,5,6,3,5,4.75,5,6,5,4,5,3,5,6,3,5,2,5,2,2,5,5,5,5,5,5,3,5,5,4.222222222,6,7,6,6,6,2,6,5,4,5.333333333,3,1,2,4,1,1,39.95970154,-75.19680023,-1
33,0,1,1,32,68,-18,61,39,29,24,76,-37,20,80,-4,14,86,-6,29,71,15,31,69,2,1,9.591836735,69.85714286,-0.166666667,they held more at the beginning of the Yes camp has been steadily increasing,76,famous author is more likely to have more pull on votes than a policy maker - people tend to vote with celebrities,114,yes has a better slogan - more succinct and optomistic ,55,Yes is currently leading and has been increasing - and debates can have a strong impact on people,97,if yes is currently leading then they might get as much as 11 percent increase - but still only a case study,108,an expert stated that no is being underestimated,48,i dont think this changes the votes because it is impossible to predict what the unknown voters will do,103,601,85.85714286,0.05,1,100,0,47,1,2,3,3,5,3,3.5,3,6,3,4,4,6,6,6,6,6,5,6,3,5,4.75,5,3,4,4,4,5,5,5,5,5,3,5,3,3,5,5,6,3,4,5,3,3,5,4.333333333,3,6,6,7,5,3,5,4,6,5,3,1,2,1,1,1,39.95970154,-75.19680023,-1
34,0,0,0,40,60,-10,30,70,-10,61,39,31,51,49,-10,61,39,10,65,35,4,60,40,-5,20,10.48979592,47.42857143,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,2,3,4,4,3.25,5,6,6,5,5.5,5,6,3,7,5.25,7,7,5,7,6.5,2,2,3,6,3.25,2,5,7,7,6,2,7,6,4,6,6,7,4,6,6,4,4,7,5.333333333,4,7,6,7,1,7,1,6,5,4.888888889,3,1,2,1,1,1,39.95970154,-75.19680023,-1
35,1,1,1,47,53,53,59,41,12,58,42,1,54,46,4,61,39,7,65,35,4,67,33,2,20,4.897959184,41.28571429,5,"Since it is about even, they have about the same chance of winning. ",68,There are now more people (and more public or relatable to the public) who are pushing for no. One diplomat who says yes will not overwrite the PM saying no and get people to switch their votes.,194,"While hope is good, people are afraid of uncertainty. We are more likely to be risk averse and fear losing that gaining something of equal worth (hope vs going it alone)",169,"Based on experience with Trump and US politics, it seems that even though people are now leaning more towards yes, no is still leading. Plus, these people may still change their mind or may have been swayed in the moment.",221,"People like to stick with the Status Quo. While these studies cannot be compared, the psychology of the people in the study can be.",131,"Like the previous question, people may be psychologically persuaded to stay with the status quo. Further, as the yes camp is based on a message of hope, some who are voting no may not want to speak up because they don't want to be seen as the pessimists.  ",256,"If they didn't come out before, they probably don't care about changes. If they wanted to change their country, the would vote. But now, they want to come out and it is more likely that they want things to stay the same or it wouldn't be as big of a deal to come out at all.",274,1313,187.5714286,0.05,1,20,0,47,1,2,6,6,5,4,5.25,3,7,5,5,5,6,5,4,6,5.25,2,5,3,4,3.5,3,5,5,3,4,3,3,3,5,5,2,3,5,3,5,5,5,3,5,3,2,3,5,3.777777778,5,6,5,7,3,5,3,4,5,4.777777778,3,1,2,1,1,1,39.95970154,-75.19680023,-1
36,1,0,0,55,45,45,55,45,0,54,46,1,47,53,7,46,54,1,66,34,20,55,45,11,0,4.285714286,46,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,7,7,7,6.5,6,7,2,3,4.5,5,3,5,3,4,6,7,7,7,6.75,1,6,2,6,3.75,1,6,6,7,6,5,6,6,3,5,5,5,5,3,5,5,3,3,4.722222222,1,6,3,2,6,2,6,2,2,3.333333333,3,1,1,7,1,NA,NA,NA,-1
