userid,condition_1,low_high,verb_num,justification_1,condition_2,neg_pos,noact_act,act_pos,act_neg,noact_neg,noact_pos,outcome,justification_2,justification_reason,justification_diff,justification_abs_diff,crt1,crt1_c,crt2,ctr2_c,crt3,ctr3_c,crt_score,consc,consc_1,consc_2,consc_3,consc_4,extra,extra_1,extra_2,extra_3,extra_4,agree,agree_1,agree_2,agree_3,agree_4,open,open_1,open_2,open_3,open_4,neuro,neuro_1,neuro_2,neuro_3,neuro_4,need.cog,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,aomt,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,orient,orient.2,orient.2_1,orient.2_2,orient.2_3,educ,age,gender,race
11,3,1,0,6,1,0,0,0,0,1,0,0,5,"The President had information that the attack would take place and that the only way to avoid it was to ground all passenger planes. However, it is his/her executive decision at the end of the day, and given that there wasn't any concrete evidence that would have taken place, the grounding of all passenger planes could have been an economic loss in itself. It really matters how reliable and certain the information was about the impending attack.",-1,1,0.05,1,5,1,47,1,3,4.5,5,4,6,3,4,3,5,3,5,5.5,6,6,5,5,6,6,6,6,6,5,5,6,3,6,5.833333333,7,6,7,6,7,5,6,6,6,6,5,6,6,5,7,2,6,6,5.333333333,4,7,6,5,5,3,6,6,6,3,1.666666667,2,2,1,3,1,2,4
12,4,1,1,5,4,1,1,1,0,0,0,0,5,He has the responsibility of protecting the American people at all cost although many people need to travel.,0,0,0.05,1,100,0,47,1,2,5.75,5,6,6,6,4.75,6,4,5,4,4.75,5,4,5,5,5,6,5,4,5,3,2,2,3,5,4,5,5,4,4,5,2,5,3,3,7,5,5,2,4,3,2,2,6,4.111111111,5,6,5,2,2,2,4,6,5,2,8.333333333,8,9,8,3,1,1,2
13,2,0,1,6,2,0,1,0,1,0,0,1,6,The effect of lives lost and fear inflicted on the nation is greater than the economic loss,0,0,0.05,1,5,1,47,1,3,4.25,3,5,3,6,3.25,1,4,5,3,6.25,7,7,5,6,5.75,6,6,5,6,3.25,3,3,5,2,4.611111111,3,6,5,6,4,5,4,1,5,6,4,6,5,5,6,2,5,5,5.666666667,6,6,6,6,4,4,7,5,7,3,5.333333333,6,6,4,3,1,1,1
14,1,0,0,3,1,0,0,0,0,1,0,0,5,He was told it was unlikely that an attack would occur,2,2,0.05,1,5,1,47,1,3,6,5,6,7,6,1.25,1,2,1,1,4.25,5,4,3,5,6.25,7,6,5,7,3.5,2,5,2,5,4.833333333,3,5,5,5,5,5,6,2,4,6,5,6,3,6,3,6,6,6,5.888888889,6,7,6,6,7,6,6,4,5,1,3.333333333,3,5,2,3,1,2,1
15,4,1,1,6,1,0,0,0,0,1,0,0,7,He believed the cost of grounding all passenger aircraft outweighed the cost of the potential bombing,1,1,0.05,1,5,1,47,1,3,5,6,3,6,5,4,4,4,3,5,5,5,3,6,6,4.25,2,6,4,5,4.75,5,5,5,4,3.888888889,5,2,7,5,3,1,2,2,4,6,6,5,3,6,6,3,2,2,5.888888889,2,7,7,7,5,7,7,7,4,1,2.333333333,2,3,2,3,1,1,7
16,1,0,0,5,4,1,1,1,0,0,0,0,7,"If it were not for his decision, the attack would have resulted in a devastating outcome. ",2,2,0.05,1,100,0,47,1,2,3.75,5,2,5,3,5.25,4,6,5,6,6,6,6,6,6,5,5,6,5,4,4.5,5,3,5,5,3.777777778,4,3,4,3,5,3,3,3,3,5,3,4,2,5,4,5,4,5,6,6,7,7,7,5,6,7,7,2,6,5.666666667,6,5,6,5,1,2,4
17,1,0,0,6,2,0,1,0,1,0,0,1,5,The President was concerned for the well-being of the American public and had to respond to a perceived threat,-1,1,0.10,0,100,0,24,0,0,6.25,6,6,7,6,4.5,2,6,5,5,6,6,6,6,6,4.25,5,5,2,5,4,5,5,3,3,4.888888889,3,5,6,6,5,3,6,3,3,6,6,6,3,5,6,5,5,6,5.333333333,4,6,6,6,5,6,5,5,5,1,2,2,3,1,3,1,2,1
18,4,1,1,5,3,1,0,0,0,0,1,1,3,"Even though it's expensive, intelligence predicted a 70% chance of a terrorist attack which is high. ",-2,2,0.10,0,100,0,24,0,0,6,6,6,6,6,5.75,6,6,5,6,6,6,6,6,6,2,2,2,2,2,3.75,5,5,3,2,4.166666667,5,6,3,5,5,3,3,3,3,4,5,5,5,2,5,5,3,5,5.111111111,3,6,6,6,3,5,6,6,5,7,6.333333333,7,7,5,3,1,2,1
20,4,1,1,6,3,1,0,0,0,0,1,1,5,I think the president was somewhat justified because of the lives that were risked. If it had not been a hoax then that risk is unacceptable,-1,1,0.05,1,100,0,47,1,2,4.25,5,5,4,3,2.25,2,3,1,3,6.5,7,7,6,6,6.5,6,7,7,6,6.5,7,7,6,6,6,7,6,7,6,6,5,7,7,5,5,6,7,7,6,5,3,6,7,6.111111111,5,7,6,7,5,7,6,7,5,1,2,3,1,2,3,1,2,1
21,3,1,0,6,4,1,1,1,0,0,0,0,6,"Knowing what has happened with regard to terrorist attacks in the past, these steps were necessary to protect the citizens.",0,0,0.05,1,5,1,47,1,3,4.75,6,1,6,6,5.5,5,6,6,5,5.5,6,5,6,5,6.75,7,7,6,7,4,4,3,4,5,5.611111111,5,6,6,5,7,6,4,5,4,7,6,6,5,7,6,5,5,6,5,4,5,6,6,3,5,6,5,5,5,5,5,5,5,3,1,2,1
22,1,0,0,6,1,0,0,0,0,1,0,0,5,He received intelligence reports that led him to believe that there was no threat of a terrorist attack. He made a decision based on the information that was available to him at the time. ,-1,1,0.05,1,5,1,47,1,3,6.5,7,7,6,6,4.75,5,6,3,5,6.25,6,6,6,7,5.75,5,6,6,6,2.75,2,1,2,6,5.833333333,6,6,7,6,7,6,5,5,5,6,5,6,6,7,6,6,5,5,6,7,7,7,7,5,5,7,3,6,1,3.666666667,4,5,2,3,1,2,4
23,2,0,1,5,4,1,1,1,0,0,0,0,6,To prevent economic loss,1,1,0.05,1,100,0,60,0,1,6.25,6,6,7,6,3.25,2,3,5,3,4.25,5,4,4,4,4.5,5,3,5,5,4,4,3,4,5,3.555555556,3,4,4,4,4,4,3,3,3,5,3,4,3,3,4,4,3,3,5,4,6,6,5,4,5,5,5,5,3,4.666666667,5,7,2,3,1,2,1
24,2,0,1,3,4,1,1,1,0,0,0,0,3,"There are public threats everyday, which must be evaluated by the President and intelligence agencies. Choosing which to respond to is a case by case matter.",0,0,0.10,0,100,0,16,0,0,6.75,6,7,7,7,4.25,4,5,5,3,6,6,6,6,6,4.75,5,5,4,5,2.25,2,2,3,2,5.777777778,5,6,6,6,6,7,5,5,5,7,6,7,5,6,4,6,7,5,5.666666667,6,7,6,7,4,3,6,6,6,5,4,4,5,3,3,1,2,1
26,4,1,1,6,1,0,0,0,0,1,0,0,2,They unnecessarily put a innocent people in danger and in doing so also made us vulnerable to economic problems. ,-4,4,0.05,1,5,1,47,1,3,3,3,1,6,2,5.75,4,7,6,6,6.5,7,6,6,7,5.75,5,6,6,6,1.5,1,2,1,2,5.444444444,6,5,5,5,6,4,4,5,6,6,6,5,6,6,6,6,5,6,6.777777778,7,7,7,7,7,7,7,5,7,3,2,2,3,1,3,1,2,1
27,3,1,0,6,4,1,1,1,0,0,0,0,7,"There was reasonable suspicion that people flying on airlines were in considerable danger. It is better to be safe than sorry, and in this instance, it paid off financially and security-wise. ",1,1,0.05,1,100,0,25,0,1,7,7,7,7,7,3.75,4,5,3,3,4.25,3,5,3,6,6,6,5,6,7,4,4,5,3,4,6,6,6,7,7,6,5,6,5,7,7,6,6,6,6,7,2,6,7,5.777777778,6,6,7,7,5,5,6,5,5,1,3,3,4,2,3,1,2,4
28,4,1,1,5,1,0,0,0,0,1,0,0,2,"The consequences for not grounding the flights were huge economically and many people died. In addition, this set off a large panic and was devastating to many",-3,3,0.05,1,100,0,47,1,2,3.5,3,3,6,2,5,5,5,5,5,6,6,6,5,7,4.5,6,5,3,4,7,7,7,7,7,3.111111111,3,3,4,3,2,3,1,2,1,5,3,6,3,5,3,1,2,6,5.777777778,7,7,6,6,3,3,7,7,6,1,2.333333333,2,3,2,3,1,2,1
29,4,1,1,5,2,0,1,0,1,0,0,1,3,Grounding all passengers from all aircraft is extreme and not justifiable.,-2,2,0.50,0,5,1,47,1,2,5.25,5,4,6,6,3.5,4,3,2,5,3.75,5,3,4,3,3.25,3,3,4,3,3,3,3,2,4,3.722222222,5,3,6,2,3,2,3,5,4,3,5,5,6,3,4,2,3,3,5.333333333,6,6,6,7,2,5,6,5,5,1,3.333333333,2,7,1,5,1,2,7
30,2,0,1,5,3,1,0,0,0,0,1,1,6,He evaluated the potential risk vs. the cost,1,1,0.10,0,100,0,47,1,1,4,3,6,5,2,5.5,5,7,6,4,6,6,6,5,7,6,6,6,6,6,5.75,5,6,6,6,4.666666667,5,5,6,4,5,5,2,2,4,6,5,6,6,5,3,4,6,5,5.444444444,5,7,5,6,4,6,5,6,5,1,3,2,6,1,3,1,2,1
31,1,0,0,4,3,1,0,0,0,0,1,1,3,Because there was no legit reason to ground the planes,-1,1,0.10,0,100,0,24,0,0,5.5,5,5,6,6,3.5,2,4,3,5,6.5,7,6,7,6,4.5,3,5,5,5,3.75,4,3,3,5,3.833333333,4,3,5,5,3,4,3,5,3,3,5,5,3,3,5,3,3,4,4.222222222,3,5,5,6,3,5,5,3,3,7,4,4,4,4,3,1,2,1
32,2,0,1,5,3,1,0,0,0,0,1,1,5,"There was only a 20% chance of the possibility of a terrorist attack, so I believe it was somewhat justified. ",0,0,0.05,1,100,0,47,1,2,5,6,4,5,5,5.25,5,6,4,6,5.75,6,7,5,5,6,6,6,6,6,4.5,4,3,5,6,4.666666667,5,6,6,6,5,3,3,4,3,5,5,6,5,6,2,5,4,5,4.222222222,5,6,4,4,3,3,4,5,4,1,5.666666667,6,5,6,2,1,2,1
33,3,1,0,6,4,1,1,1,0,0,0,0,7,"advisors approval, saved the lives of others, saved the government billions of dollars",1,1,0.05,1,20,0,47,1,2,5,6,7,6,1,4.75,3,5,6,5,6.75,6,7,7,7,4,5,3,3,5,3.75,3,4,5,3,4.944444444,5,5,6,5,5,5,5,4,5,5,5,6,4,3,5,5,6,5,4.666666667,5,6,5,6,5,5,6,1,3,3,5,5,3,7,3,1,2,4
34,2,0,1,5,2,0,1,0,1,0,0,1,5,"he tried to save lives by grounding aircrafts, but because the threat was only 20% likely, it is highly unlikely it would've occurred. so it was somewhat justified, but the consequences were massive ",0,0,0.05,1,5,1,27,0,2,5.5,3,6,7,6,4,2,5,5,4,6,7,7,4,6,5.5,5,6,6,5,2.75,2,4,2,3,3.888888889,4,3,2,6,6,1,4,3,3,4,5,6,2,5,4,3,4,5,4.555555556,4,5,6,6,3,2,6,4,5,1,3,3,3,3,3,1,2,2
35,1,0,0,2,2,0,1,0,1,0,0,1,2,"Unjustified because reports indicating nothing would probably happen anyway, and nothing did happen",0,0,0.10,0,100,0,24,0,0,4.75,3,6,6,4,6,5,7,5,7,5.75,6,6,5,6,3.5,5,3,3,3,2.75,3,3,3,2,3.944444444,3,6,5,5,3,1,6,5,5,2,6,2,4,2,5,4,3,4,4.777777778,6,5,6,5,5,3,5,5,3,1,3.666666667,4,4,3,2,1,2,1
36,3,1,0,6,1,0,0,0,0,1,0,0,2,should have grounded,-4,4,0.05,1,20,0,47,1,2,5.25,5,6,5,5,4,5,3,5,3,4,5,3,5,3,3.75,4,4,4,3,4,4,3,5,4,4.111111111,5,4,3,4,4,5,4,3,2,5,6,3,5,5,4,4,3,5,4.222222222,5,4,6,3,3,3,3,6,5,3,7.333333333,8,7,7,3,1,2,4
37,4,1,1,7,4,1,1,1,0,0,0,0,7,There was a potential terrorist attack putting people at risk.,0,0,0.05,1,100,0,47,1,2,4.25,5,4,6,2,4,2,6,3,5,5,5,5,5,5,4.5,5,5,2,6,4,3,5,3,5,4.222222222,5,4,5,4,4,5,3,3,2,6,5,5,4,5,4,2,6,4,5.111111111,4,7,6,6,5,5,3,6,4,1,3.333333333,3,4,3,3,1,2,3
38,4,1,1,5,1,0,0,0,0,1,0,0,5,it was required,0,0,0.10,0,5,1,12,0,1,3.75,3,3,6,3,6.25,6,7,6,6,5.75,6,6,5,6,6,6,5,7,6,4.75,4,4,5,6,3.777777778,3,3,3,4,4,5,5,5,5,2,3,4,3,4,4,3,4,4,4.111111111,3,5,5,4,3,6,3,3,5,2,5.333333333,5,9,2,5,1,2,4
39,1,0,0,5,4,1,1,1,0,0,0,0,5,reasonable,0,0,0.10,0,5,1,12,0,1,3.5,3,4,5,2,4,4,4,4,4,3.75,5,3,4,3,3.5,1,4,5,4,4,5,3,4,4,4.111111111,4,4,5,5,4,3,4,4,5,4,4,4,3,4,4,5,4,4,3.666666667,4,4,3,3,4,3,5,3,4,2,4.666666667,3,5,6,5,1,2,4
40,3,1,0,5,4,1,1,1,0,0,0,0,5,"He took the necessary measures to prevent a terrorist attack which could have cost thousands of lives and millions of dollars. However, I didn't choose ""Very justififed"" or ""Completely justified"" because his action was too drastic and could have impacted people's lives and more broadly speaking, the entire country in a negative way.",0,0,0.05,1,5,1,47,1,3,3.75,4,4,5,2,4.75,4,5,5,5,4.5,5,3,4,6,6,6,6,6,6,2,2,2,2,2,4.944444444,5,5,6,5,6,5,6,2,5,6,5,7,5,5,6,1,4,5,5.222222222,4,6,6,6,6,4,6,5,4,7,3.333333333,3,4,3,2,1,2,4
41,4,1,1,5,3,1,0,0,0,0,1,1,6,"If he didn't ground the planes and something happened, it'd be really bad, but his decision saved the country a lot of money. Maybe it is just luck that he is justified because if the situation had occurred differently, he'd be in a lot of trouble",1,1,0.05,1,5,1,47,1,3,3,2,2,6,2,5.75,5,6,6,6,4.5,5,5,3,5,4.75,5,5,3,6,4,5,3,2,6,4.055555556,5,3,5,3,4,3,3,3,3,5,5,5,5,3,5,5,3,5,5.111111111,5,5,6,7,5,5,6,2,5,1,4.333333333,4,6,3,3,1,2,1
42,1,0,0,2,1,0,0,0,0,1,0,0,5,He was somewhat justified because it did not seem like an imminent threat.,3,3,0.10,0,100,0,24,0,0,3.25,5,1,5,2,3.75,2,4,3,6,5.25,6,5,5,5,5.75,6,6,5,6,4,3,5,4,4,5.222222222,5,5,6,7,7,5,2,6,2,3,6,6,5,7,7,3,7,5,5.222222222,6,7,6,7,3,3,6,7,2,1,2.666666667,3,3,2,3,1,1,3
43,3,1,0,6,2,0,1,0,1,0,0,1,6,"Better safe than sorry - the president would have been held responsible had he not taken action, so he needed to take action in the interest of safety.",0,0,0.05,1,100,0,47,1,2,6.5,6,6,7,7,4.5,2,6,5,5,6.5,6,7,6,7,4.5,3,5,5,5,4,3,3,6,4,4.944444444,5,4,5,5,6,3,6,3,6,4,5,6,5,3,6,5,6,6,5.222222222,4,6,5,7,3,3,7,6,6,1,3.333333333,3,5,2,3,1,2,4
44,1,0,0,2,2,0,1,0,1,0,0,1,2,"The President has the authority to make these decisions, but intelligence indicated that the threat was not serious.",0,0,0.05,1,100,0,24,0,1,5.75,5,6,7,5,4.5,2,5,6,5,6,7,6,6,5,6,6,6,5,7,4.5,5,3,5,5,3.888888889,4,3,6,5,5,2,5,2,1,5,4,7,3,4,2,4,6,2,4.222222222,3,7,5,5,5,3,6,2,2,2,5.333333333,5,7,4,2,1,2,4
46,2,0,1,6,1,0,0,0,0,1,0,0,3,He gambled with peoples lives when he had the opportunity so save them. ,-3,3,0.05,1,5,1,12,0,2,1.25,1,1,2,1,6.25,6,7,5,7,6.75,7,7,6,7,5.25,5,5,6,5,5.25,5,6,5,5,4.277777778,6,6,4,5,6,2,2,1,3,6,6,5,4,4,5,3,3,6,5,7,3,4,6,6,3,6,4,6,3,5.333333333,6,7,3,3,1,1,1
47,4,1,1,7,1,0,0,0,0,1,0,0,1,The President was not justified at all because there was prior knowledge of a very possible terrorist attack and there was the possibility to avoid it.,-6,6,0.05,1,10,0,12,0,1,6.25,5,7,7,6,3.25,3,5,2,3,6.75,7,6,7,7,2.75,3,2,2,4,4.75,5,2,7,5,3.555555556,4,5,4,3,3,3,3,3,1,2,5,5,4,1,4,4,4,6,4.888888889,2,6,6,6,7,4,7,2,4,5,5,5,5,5,3,1,2,1
48,4,1,1,5,4,1,1,1,0,0,0,0,6,"I think the President was justified because of the high chance (70%) of the attack, and the costs of having such an attack take place. ",1,1,0.05,1,20,0,12,0,1,4.25,5,3,5,4,4.75,3,6,5,5,6.25,6,7,5,7,4,5,5,3,3,4,5,3,3,5,3.833333333,3,3,5,5,3,2,5,5,3,3,5,5,2,3,4,3,5,5,4.333333333,3,5,6,5,5,2,5,5,3,1,3,3,3,3,2,1,2,4
49,3,1,0,3,4,1,1,1,0,0,0,0,7,He was justified because he saved people's lives and money,4,4,0.05,1,1,0,47,1,2,1.5,2,1,2,1,1,1,1,1,1,2.5,3,2,3,2,5.5,1,7,7,7,4.25,7,2,7,1,3.666666667,3,2,6,5,2,5,1,1,2,6,7,3,4,3,2,4,5,5,3.666666667,5,4,2,4,3,5,3,3,4,1,1,1,1,1,3,1,1,4
50,3,1,0,5,2,0,1,0,1,0,0,1,6,"he took the chance that it was a hoax, economical reasons",1,1,0.05,1,5,1,47,1,3,4.25,5,4,5,3,3.25,3,2,4,4,4.5,4,5,5,4,4,5,4,4,3,4.75,5,3,6,5,4.222222222,5,4,4,5,4,5,4,3,3,4,4,4,4,5,5,4,4,5,4.222222222,5,4,5,4,4,3,4,4,5,5,5.333333333,6,4,6,5,1,2,4
51,1,0,0,6,2,0,1,0,1,0,0,1,6,Safety is paramount concern,0,0,0.10,0,5,1,47,1,2,4.25,5,3,6,3,3.5,3,4,3,4,3.75,3,3,5,4,3.75,4,3,4,4,4.75,5,5,4,5,4.388888889,5,5,5,5,5,5,5,3,3,4,5,3,5,5,5,3,3,5,4.888888889,6,5,5,5,5,3,5,5,5,3,3,3,3,3,3,1,1,4
52,2,0,1,5,4,1,1,1,0,0,0,0,6,There was an attack that could have caused damage and hurt people.,1,1,0.05,1,5,1,47,1,3,4,5,2,5,4,5.5,5,6,5,6,5.75,6,6,5,6,6.25,6,6,7,6,4,5,3,3,5,5.888888889,4,5,6,6,7,5,6,6,7,6,5,6,5,6,6,6,7,7,6.111111111,6,7,7,6,4,6,7,6,6,5,4.333333333,4,7,2,3,1,2,4
53,3,1,0,6,4,1,1,1,0,0,0,0,6,"By not risking the event and grounding all aircrafts, he not only saved citizens but the economy as well",0,0,0.10,0,100,0,24,0,0,5,5,6,7,2,4.25,5,3,5,4,4.25,6,3,4,4,5.25,6,3,6,6,4.5,2,5,6,5,4.611111111,4,6,6,5,4,5,4,2,3,5,5,6,4,5,5,5,5,4,4.333333333,4,3,4,6,5,3,6,4,4,7,3,3,3,3,3,1,2,3
54,1,0,0,3,2,0,1,0,1,0,0,1,3,"Based on the credible intelligence reports, it was made apparent that a terrorist attack would be an unlikely scenario. Furthermore, taking immediate and reflexive action on a threat that lacks credence shows a rush to judgement and weakness on the part of our society. That is, the ultimate aims of terrorist regimes succeed when the United States succumbs to fear. A degree of uncertainty will always exist in such situations, but as a nation and a society, it should not hinder daily activity unless there is near certainty of a dangerous outcome.",0,0,0.05,1,100,0,24,0,1,3,2,2,5,3,5.5,5,6,6,5,6,6,6,6,6,6.25,6,6,6,7,4,5,5,2,4,4.666666667,3,6,6,5,5,5,6,3,2,6,6,6,3,6,6,3,2,5,5,4,6,6,6,1,5,6,6,5,1,4.333333333,4,6,3,3,1,1,4
56,2,0,1,6,4,1,1,0,0,0,0,1,7,The President was justified because his actions saved lives and money.,1,1,0.05,1,100,0,47,1,2,6.5,6,6,7,7,5.5,4,6,5,7,7,7,7,7,7,6,7,6,5,6,5.5,6,5,6,5,4.666666667,4,5,3,6,6,3,6,5,4,6,5,5,3,5,5,3,5,5,4.777777778,4,6,5,6,3,3,7,4,5,5,5,5,7,3,3,1,2,1
57,3,1,0,6,3,1,0,1,0,0,0,0,5,"It seems the justification may have also taken into account the amount of money it would have cost to ground all the flights, and did not make his decision with the safety of airline passengers in mind. ",-1,1,0.05,1,5,1,47,1,3,3,3,2,5,2,4.25,5,3,6,3,6.25,7,6,7,5,5.25,6,6,3,6,3.75,5,2,4,4,5.5,5,6,7,6,6,5,5,2,3,6,6,6,6,5,7,5,6,7,5.333333333,4,7,7,5,4,5,6,5,5,1,3,3,4,2,3,1,2,7
58,4,1,1,7,1,0,0,0,0,0,1,1,2,The President knew there was a threat and did not do anything to prevent this incident occurring.,-5,5,0.05,1,100,0,24,0,1,6,4,6,7,7,4,4,4,4,4,6.25,7,7,4,7,4,4,4,4,4,4,4,4,4,4,4.166666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4.222222222,4,6,4,6,4,2,6,2,4,6,5,5,5,5,3,1,2,1
59,3,1,0,6,2,0,1,0,0,1,0,0,6,"The president exercised caution with the knowledge that he had available to him. The information that later surfaced that it was a hoax does not make the threat illegitimate, and the president did what he though was best.",0,0,0.05,1,100,0,47,1,2,6,5,6,7,6,2.75,3,3,2,3,6,6,6,6,6,6,6,6,6,6,2.75,2,2,2,5,5.111111111,3,6,5,6,6,5,6,1,3,6,6,6,6,6,6,3,6,6,5,4,6,5,7,3,4,6,4,6,2,7.333333333,7,8,7,3,1,1,1
60,3,1,0,6,3,1,0,0,1,0,0,1,5,"I think it is based on the credibility of the information. If it is very highly likely, then I think he has the right to take his measure to save his citizens",-1,1,0.05,1,5,1,47,1,3,4.5,5,3,5,5,4.75,4,5,5,5,5.5,5,5,6,6,5.75,5,6,6,6,3,3,3,3,3,4.166666667,4,5,5,4,2,5,3,3,5,5,5,5,3,5,3,5,5,3,5.111111111,6,6,6,5,5,5,5,3,5,1,4.666666667,4,6,4,5,1,1,4
61,4,1,1,5,1,0,0,0,0,0,1,1,2,did not ground all airplanes,-3,3,0.05,1,2000,0,12,0,1,5.5,5,6,6,5,3.75,4,3,5,3,5.75,6,6,6,5,5.5,6,6,4,6,4.75,5,3,5,6,3.666666667,2,4,4,4,5,4,3,4,3,4,4,4,2,6,4,2,4,3,4.666666667,4,6,4,6,3,4,6,4,5,3,3.666666667,4,4,3,2,1,2,4
