start,end,id,certainty,account,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,percent_change1,percent_change2,percent_change3,percent_change4,percent_change5,percent_change6,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_s,crt2,crt2_s,crt3,crt3_s,crt_s,consc_1,consc_2*,consc_3,consc_4*,consc,extra_1,extra_2*,extra_3,extra_4*,extra,agree_1,agree_2*,agree_3,agree_4*,agree,open_1,open_2*,open_3*,open_4*,open,neuro_1,neuro_2*,neuro_3,neuro_4*,neuro,need.cog_1,need.cog_2,need.cog_3*,need.cog_4*,need.cog_5*,need.cog_6,need.cog_7*,need.cog_8*,need.cog_9*,need.cog_10,need.cog_11,need.cog_12*,need.cog_13,need.cog_14,need.cog_15,need.cog_16*,need.cog_17*,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4*,aomt_5*,aomt_6*,aomt_7*,aomt_8,aomt_9,aomt,educ,age,gender,race
4/3/17 11:08,4/3/17 11:21,1722,0,0,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.40,0.10,-0.10,0.60,0.10,0.20,0.50,0.00,-0.10,0.00,0.07,0.03,0.00,0.00,0.00,0.00,-0.20,0.50,-0.17,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,5,3,3,3,3.50,6,6,5,5,5.50,6,6,6,7,6.25,7,7,6,7,6.75,6,4,3,7,5.00,6,6,6,6,5,4,6,5,6,4,5,7,6,6,6,5,6,6,5.61,5,7,7,7,5,7,7,5,6,6.22,2,1,1,1
3/5/17 19:08,3/5/17 19:47,2331,0,1,0.50,0.00,0.00,0.50,0.00,0.00,0.30,0.20,-0.20,0.50,0.00,0.20,0.50,0.00,0.00,0.60,0.10,0.10,0.50,0.00,-0.10,0.00,0.10,0.04,0.00,0.00,-0.40,0.67,0.00,0.20,-0.17,There is no way to know how likely it is that they will win. ,61,I still don't know how this probability is supposed to be attained. ,68,"Still not confident in this answer, but because my thoughts on the slogan were generally non-predictive of election outcomes, and I thought the succession slogan was more compelling, I would guess that the trend will continue the same way and succession will lose.  ",266,It doesn't say which was the rally size is predictive. Meaning we don't know if the crowd is predictive of the voting outcome whether it is a big or small. ,156,i really have no idea how I'm supposed to come up with a probability for this.,78,"There's no way this is the right probability but because the debates are predictive 60% of the time, and secession won the debate, I would venture to say that the succession group has a .6 chance of winning. ",208,We don't know what the polling model predicted. ,48,885,126.43,0.05,1,5,1,47,1,3,3,3,5,4,3.75,5,5,6,5,5.25,7,6,6,7,6.50,5,5,3,5,4.50,3,3,2,3,2.75,3,5,2,5,5,2,3,4,4,3,5,5,2,2,4,5,5,5,3.83,6,5,5,6,5,3,6,4,7,5.22,3,1,1,1
4/5/17 10:17,4/5/17 10:25,1937,0,0,0.50,0.00,0.00,0.50,0.00,0.00,0.60,0.10,0.10,0.60,0.10,0.00,0.50,0.00,-0.10,0.60,0.10,0.10,0.50,0.00,-0.10,0.00,0.07,0.04,0.00,0.00,0.20,0.00,-0.17,0.20,-0.17,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,100,0,24,0,0,6,5,6,5,5.50,6,3,4,5,4.50,6,6,6,7,6.25,7,6,6,7,6.50,3,5,3,5,4.00,6,6,6,6,6,6,6,2,2,6,2,6,6,6,2,2,6,6,4.89,2,6,3,6,3,3,6,5,6,4.44,3,1,2,1
3/26/17 14:49,3/26/17 15:46,3351,0,1,0.50,0.00,0.00,0.50,0.00,0.00,0.20,0.30,-0.30,0.75,0.25,0.55,0.50,0.00,-0.25,0.60,0.10,0.10,0.50,0.00,-0.10,0.00,0.22,0.09,0.00,0.00,-0.60,2.75,-0.33,0.20,-0.17,they both have a 50% chance of winning since the information does not explain the extent to which the camp favoring secession is more favored,141,the packages of policies being appealed does not have anything to do with the likelihood of the camp favoring secession winning the election,140,winning 2 out of the last 10 referendums is 0.2 probability of winning the election for the group with the more compelling slogan,129,3/(3+1) is 0.75 probability for the group with an average rally size that is three times that of the opposition's,113,"this information as nothing to do with either camp winning the election, they both have the same probability of winning, 50%",124,6/10= 0.6 probability of winning the election for the group that wins the debate,80,"this information has nothing to do with either group winning, they both have a 50% chance",89,816,116.57,0.05,1,5,1,47,1,3,7,7,7,7,7.00,7,4,3,4,4.50,6,6,6,6,6.00,6,3,3,5,4.25,4,4,4,4,4.00,6,6,6,6,6,6,2,2,2,6,4,6,6,2,6,5,5,6,4.89,5,7,7,7,3,4,7,7,7,6.00,3,1,2,1
4/6/17 18:07,4/6/17 18:27,2950,0,0,0.50,0.00,0.00,0.50,0.00,0.00,0.20,0.30,-0.30,0.75,0.25,0.55,0.50,0.00,-0.25,0.60,0.10,0.10,0.50,0.00,-0.10,0.00,0.22,0.09,0.00,0.00,-0.60,2.75,-0.33,0.20,-0.17,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,2,7,6,5,5.00,4,4,2,5,3.75,6,6,7,7,6.50,5,6,3,5,4.75,3,3,5,6,4.25,7,7,3,3,3,4,5,1,1,7,7,7,5,7,7,3,7,7,5.06,6,7,7,7,3,6,7,7,7,6.33,3,1,2,1
3/15/17 12:01,3/15/17 12:08,1677,0,1,0.50,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.60,0.10,0.10,0.60,0.10,0.00,0.60,0.10,0.00,0.50,0.00,-0.10,0.00,0.03,0.04,0.00,0.00,0.00,0.20,0.00,0.00,-0.17,"I think the people of Apple would be cautious about secession and therefore, it's split 50-50.",94,I don't think this changes things.,34,A slogan does not make much impact.,35,Rally size = more people willing to vote,40,I think the past is a good indicator of the future.,51,Debates are an excellent indicator of the election.,51,The media doesn't mean anything,31,336,48.00,0.05,1,100,0,47,1,2,2,2,5,3,3.00,6,7,6,7,6.50,6,7,6,7,6.50,6,6,6,6,6.00,2,2,2,2,2.00,5,5,5,3,5,7,2,5,5,6,6,5,3,6,6,5,3,3,4.72,6,6,6,6,3,2,6,6,6,5.22,2,1,2,1
4/25/17 11:10,4/25/17 11:24,3215,0,1,0.50,0.00,0.00,0.20,0.30,-0.30,0.30,0.20,0.10,0.60,0.10,0.30,0.40,0.10,-0.20,0.10,0.40,-0.30,0.60,0.10,0.50,0.10,0.28,0.17,0.01,-0.60,0.50,1.00,-0.33,-0.75,5.00,"Despite voters deciding to want a succession, it is theoretically sound, but practically almost impossible because of the current legal and political hierarchical structure",172,"Out of the people who want to engage in self-rule, there will only be a handful who would only be able to do so because of the conditions in which the previous political system put them in",188,"Given that compelling slogans really helped with the previous US election, I figure that it has a probable impact on citizens. ",127,"When physical numbers become large, it establishes a more immediate impact that would influence succession ",107,"The 7/10 passed referendums shows the compliance of the government, which does boost the chance of the succession camp winning",126,"There are other outlets of propaganda, and in a country where there is little education, debate rarely matters in voting",120,Who knows?,10,850,121.43,0.05,1,500,0,12,0,1,1,2,4,2,2.25,5,6,5,4,5.00,5,5,4,5,4.75,6,6,6,6,6.00,4,3,5,5,4.25,3,3,4,4,4,5,4,7,4,3,3,4,3,6,6,1,6,6,4.22,6,7,7,7,5,5,7,7,6,6.33,3,1,1,4
4/11/17 9:08,4/11/17 9:30,3487,0,0,0.50,0.00,0.00,0.30,0.20,-0.20,0.35,0.15,0.05,0.38,0.13,0.03,0.50,0.00,0.13,0.60,0.10,0.10,0.60,0.10,0.00,0.10,0.08,0.10,0.01,-0.40,0.17,0.07,0.33,0.20,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,3,3,6,3,3.75,5,5,4,5,4.75,5,5,5,5,5.00,6,5,4,5,5.00,5,4,5,5,4.75,6,4,6,5,5,3,4,4,3,6,5,5,5,5,4,5,3,5,4.61,4,5,3,3,2,5,6,3,3,3.78,5,1,2,4
4/4/17 9:30,4/4/17 9:40,3457,1,0,0.95,0.00,0.00,0.40,0.55,-0.55,0.95,0.00,0.55,0.95,0.00,0.00,0.70,0.25,-0.25,0.70,0.25,0.00,0.70,0.25,0.00,0.25,0.23,0.19,-0.04,-0.58,1.38,0.00,-0.26,0.00,0.00,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,2,1,5,2,2.50,4,3,6,2,3.75,6,3,5,4,4.50,7,5,6,6,6.00,1,2,1,2,1.50,6,6,6,6,6,6,3,5,5,6,6,6,5,6,6,5,6,5,5.56,6,7,7,6,5,6,7,6,7,6.33,3,1,1,1
3/31/17 10:38,3/31/17 10:48,2640,0,1,0.54,0.04,0.04,0.60,0.10,0.06,0.20,0.30,-0.40,0.10,0.40,-0.10,0.70,0.20,0.60,0.60,0.10,-0.10,0.40,0.10,-0.20,0.14,0.24,0.18,-0.01,0.11,-0.67,-0.50,6.00,-0.14,-0.33,slightly over half,18,60 percent,10,20 percent,10,10 percent,10,70 percent,10,60 percent,10,40 percent,10,78,11.14,2.10,0,100,0,100,0,0,5,7,7,6,6.25,7,6,4,7,6.00,5,6,6,6,5.75,6,7,7,7,6.75,7,4,7,7,6.25,7,7,5,5,5,2,2,6,6,4,2,6,5,5,5,6,5,1,4.67,4,5,5,5,5,4,6,6,6,5.11,3,1,2,1
3/4/17 12:45,3/4/17 13:02,2595,0,1,0.54,0.04,0.04,0.32,0.18,-0.22,0.20,0.30,-0.12,0.54,0.04,0.34,0.70,0.20,0.16,0.60,0.10,-0.10,0.54,0.04,-0.06,0.00,0.17,0.13,0.01,-0.41,-0.38,1.70,0.30,-0.14,-0.10,I chose .54 because this number relays the fact that over 50% of people support succession. It also is not too extreme.,119,60% success of new policies multiplied by the 54% I predicted were in favor of succession results in 32%.,105,"The camp favoring succession has a better referendum, and those with a better referendum win 20% of the time.",109,"Rally size as an indicator is not very significant, so my initial guess remains.",80,70% of referendums go through and this is what the succession camp supports.,76,60% of debate winners also win referendums and 60% is over the stated 50% who support the succession camp.,106,I completely disregarded the polling information because it is not going to change anyone's vote.,97,692,98.86,0.05,1,5,1,47,1,3,5,6,6,2,4.75,4,7,7,7,6.25,7,6,6,7,6.50,7,6,3,7,5.75,5,7,7,3,5.50,5,5,6,6,6,5,6,6,6,7,6,7,6,5,5,5,7,7,5.89,5,7,6,6,2,2,7,6,6,5.22,3,1,2,1
3/3/17 10:22,3/3/17 10:58,3258,1,1,0.90,0.05,0.05,0.40,0.55,-0.50,0.30,0.65,-0.10,0.70,0.25,0.40,0.60,0.35,-0.10,0.50,0.45,-0.10,0.40,0.55,-0.10,0.50,0.22,0.41,-0.06,-0.56,-0.25,1.33,-0.14,-0.17,-0.20,The are five clues as to the problem which is allowed to be solved.,67,Unity for apple opposed becuase the Unix system apple mac os is against open source ubuntu unity,96,The slogan speaks for itself,28,.7/3 = .7/3 so there we go ninety degrees in,44,The referendem is the only way the people can let air out to breathe,68,The news are doing the bidding of their corporate overlords,59,Dishonest attacked all day,26,388,55.43,0.05,1,100,0,47,1,2,5,5,5,2,4.25,2,5,5,3,3.75,3,4,3,3,3.25,6,3,5,2,4.00,7,2,5,2,4.00,7,1,1,6,6,1,6,2,6,1,2,7,7,2,1,2,6,6,3.89,6,6,2,4,5,5,3,5,4,4.44,3,1,1,2
4/3/17 11:12,4/3/17 11:24,3219,1,0,0.90,0.05,0.05,0.80,0.15,-0.10,0.80,0.15,0.00,0.50,0.45,-0.30,0.70,0.25,0.20,0.70,0.25,0.00,0.60,0.35,-0.10,0.30,0.12,0.24,-0.04,-0.11,0.00,-0.38,0.40,0.00,-0.14,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,6,2,4,3,3.75,5,5,6,6,5.50,6,7,7,6,6.50,4,5,2,4,3.75,4,6,5,2,4.25,5,5,6,6,5,5,6,6,2,6,7,5,6,3,6,7,6,2,5.22,6,6,6,6,4,4,7,5,7,5.67,3,1,1,1
3/20/17 11:28,3/20/17 11:37,3491,1,0,0.90,0.05,0.05,0.85,0.10,-0.05,0.90,0.05,0.05,0.90,0.05,0.00,0.92,0.03,0.02,0.95,0.00,0.03,0.80,0.15,-0.15,0.10,0.05,0.06,-0.01,-0.06,0.06,0.00,0.02,0.03,-0.16,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,1,0,24,0,0,7,5,7,7,6.50,2,4,5,4,3.75,2,6,4,5,4.25,7,7,5,6,6.25,7,6,7,6,6.50,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,5.78,5,6,3,5,4,1,6,3,5,4.22,3,1,1,1
4/9/17 15:21,4/9/17 15:38,3122,0,0,0.55,0.05,0.05,0.40,0.10,-0.15,0.45,0.05,0.05,0.35,0.15,-0.10,0.40,0.10,0.05,0.48,0.02,0.08,0.30,0.20,-0.18,0.25,0.10,0.10,-0.03,-0.27,0.13,-0.22,0.14,0.20,-0.38,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,2,6,5,5,4.50,2,3,1,3,2.25,7,7,5,6,6.25,6,7,7,7,6.75,3,2,6,5,4.00,2,2,5,5,3,3,3,6,2,5,4,7,3,6,4,4,5,6,4.17,7,7,6,7,5,7,7,6,7,6.56,3,1,1,1
2/28/17 9:08,2/28/17 9:18,1844,0,1,0.55,0.05,0.05,0.50,0.00,-0.05,0.50,0.00,0.00,0.51,0.01,0.01,0.40,0.10,-0.11,0.48,0.02,0.08,0.50,0.00,0.02,0.05,0.05,0.03,0.00,-0.09,0.00,0.02,-0.22,0.20,0.04,"This gives a small increase, but not reliable",45,it may convince people on the fence but not that much,53,This is not useful at all,25,not a representative amount of the population,45,"If most referendums fail, then this one might also fail",55,these are all negligible events,31,this was the base rate,22,276,39.43,0.05,1,5,1,47,1,3,4,4,4,4,4.00,3,5,4,4,4.00,3,4,5,3,3.75,5,6,4,5,5.00,5,3,3,5,4.00,2,6,5,4,4,6,3,3,6,6,7,6,1,1,6,2,6,6,4.44,5,5,5,6,5,5,6,4,5,5.11,5,1,1,1
3/16/17 12:02,3/16/17 12:21,3393,0,1,0.55,0.05,0.05,0.48,0.02,-0.07,0.56,0.06,0.08,0.56,0.06,0.00,0.55,0.05,-0.01,0.57,0.07,0.02,0.50,0.00,-0.07,0.05,0.04,0.04,0.00,-0.13,0.17,0.00,-0.02,0.04,-0.12,"There is more support for secession that unity, and 7/10 elections have been accurately predicted by polls. Thus, the probability should be over 0.5, as the secession will probably pass. However, it should not be too high, as elections generally are not won by landslides and are typically won by narrow margins.",312,"The package has had a 60% rate of mollifying the Applan citizenry, so chances are that this will work again to some degree. However, there is already more support for secession than unity, so these two effects must be balanced and will probably result in no secession by a narrow margin of votes. ",297,"The slogan has only been predictive of 20% of the past referendums, so this is not a good measure to predict the outcome of an election since it seems to have a marginal effect. Therefore, there will be a slight improvement in the probability but will probably be around the same as Situation #1.",296,"The rally size clearly has a marginal effect, so the probability will be slightly improved but be similar to Situation #1.",122,"Since there is a 70% passing rate for independence reforms, the probability should be above 0.5. However, this does not speak to the margin of victory, as 51% achieves the same effect as 99%. Thus, the probability will not change drastically as a result of this evidence due to the current probability level from Situation #1 already meeting the expectations of this evidence.",376,"The debate seems to have a noticeable impact, but the secession is already likely to pass so this might slightly improve the probability but not really have a substantial effect. ",179,"The secession is predicted to occur because polling indicates more support, but if the polling is inaccurate, then it is hard to say without any other context what might happen in the election. Thus, I am saying there is an equal probability for each situation to  happen.",272,1854,264.86,0.05,1,5,1,47,1,3,5,3,5,3,4.00,1,4,3,2,2.50,5,5,5,5,5.00,6,6,6,6,6.00,3,3,3,4,3.25,2,2,5,5,5,3,5,5,6,2,2,6,2,2,3,4,4,2,3.61,4,7,5,7,4,5,6,5,5,5.33,3,1,1,4
4/23/17 13:45,4/23/17 13:58,3697,0,0,0.55,0.05,0.05,0.40,0.10,-0.15,0.30,0.20,-0.10,0.80,0.30,0.50,0.50,0.00,-0.30,0.70,0.20,0.20,0.50,0.00,-0.20,0.05,0.24,0.12,0.00,-0.27,-0.25,1.67,-0.38,0.40,-0.29,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,500,0,47,1,2,4,3,6,6,4.75,2,4,4,3,3.25,6,5,5,6,5.50,4,5,4,5,4.50,2,4,2,6,3.50,4,4,6,2,6,4,2,4,6,4,6,6,4,4,4,4,4,6,4.44,5,5,4,5,4,3,6,5,5,4.67,3,1,1,1
3/19/17 18:21,3/19/17 18:38,3501,0,1,0.55,0.05,0.05,0.60,0.10,0.05,0.60,0.10,0.00,0.60,0.10,0.00,0.60,0.10,0.00,0.60,0.10,0.00,0.53,0.03,-0.07,0.02,0.02,0.08,0.00,0.09,0.00,0.00,0.00,0.00,-0.12,There is more support for secession but probably not by a lot.,62,that's what it was before,25,"similarly to what I originally thought, but with this information it is more likely the camp favoring succession will win",121,this group has a stronger campaign ,35,they still have a strong campaign and a lot of supporters ,58,their campaign is successful ,29,I think if the information is incorrect the movement will lose support ,71,401,57.29,0.10,0,100,0,47,1,1,6,6,6,6,6.00,5,3,6,5,4.75,6,3,5,3,4.25,5,3,5,5,4.50,6,5,6,5,5.50,4,4,5,3,5,3,3,3,3,5,3,3,3,5,3,3,5,5,3.78,4,6,5,6,5,6,6,4,2,4.89,2,1,2,1
3/15/17 10:49,3/15/17 11:12,3462,0,0,0.55,0.05,0.05,0.51,0.01,-0.04,0.49,0.01,-0.02,0.43,0.07,-0.06,0.53,0.03,0.10,0.59,0.09,0.06,0.56,0.06,-0.03,0.01,0.05,0.05,0.01,-0.07,-0.04,-0.12,0.23,0.11,-0.05,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.05,1,5,1,47,1,3,2,2,4,4,3.00,1,3,1,2,1.75,7,6,7,6,6.50,5,5,5,5,5.00,4,7,6,7,6.00,3,5,6,6,6,3,3,7,5,3,6,5,6,6,3,5,5,6,4.94,5,6,5,6,4,6,7,5,5,5.44,3,1,1,1
4/13/17 19:13,4/13/17 19:26,3672,0,0,0.55,0.05,0.05,0.42,0.08,-0.13,0.46,0.04,0.04,0.55,0.05,0.09,0.55,0.05,0.00,0.57,0.07,0.02,0.60,0.10,0.03,0.05,0.05,0.06,0.01,-0.24,0.10,0.20,0.00,0.04,0.05,,0,,0,,0,,0,,0,,0,,0,0,0.00,0.10,0,20,0,47,1,1,2,3,6,3,3.50,5,7,6,6,6.00,6,6,6,6,6.00,7,6,6,7,6.50,5,5,4,6,5.00,3,6,5,5,6,5,6,4,4,7,7,6,3,7,4,4,6,5,5.17,5,7,7,7,6,6,7,7,5,6.33,3,1,2,1
